level,algorithm,dist
code2vec,leiden,-0.049141807260196124
code2vec,leiden,0.06161218588432682
code2vec,leiden,-0.1362612249787658
code2vec,leiden,0.017837355490821438
code2vec,leiden,
code2vec,leiden,-0.06341182298268788
code2vec,leiden,-0.20800078701596658
code2vec,leiden,0.07047276426736582
code2vec,leiden,-0.1141976714398959
code2vec,leiden,-0.07766664531270895
code2vec,leiden,-0.2753117550858488
code2vec,leiden,-0.0713142432049686
code2vec,leiden,-0.11015214066778067
code2vec,leiden,-0.10600363839557458
code2vec,leiden,-0.28712380963104445
code2vec,leiden,0.0433945729493137
code2vec,leiden,-0.05237102069772748
code2vec,leiden,0.17262389857320293
code2vec,leiden,-0.3267043800095142
code2vec,leiden,-0.11192089476395073
code2vec,leiden,-0.11527860947941437
code2vec,leiden,0.18762340926451082
code2vec,leiden,-0.1907726438266919
code2vec,leiden,-0.2239844683204556
code2vec,leiden,-0.1949157895210626
code2vec,leiden,-0.2982097294052337
code2vec,leiden,-0.20630794893302962
code2vec,leiden,-0.03652040039595206
code2vec,leiden,0.13121406871836716
code2vec,leiden,-0.10059903214280552
code2vec,leiden,-0.11274677279544754
code2vec,leiden,0.11767487425885337
code2vec,leiden,-0.07551870464499155
code2vec,leiden,-0.2290387533990894
code2vec,leiden,0.14975299257763808
code2vec,leiden,-0.029669028418985333
code2vec,leiden,-0.1877846557056947
code2vec,leiden,0.10155796445813503
code2vec,leiden,-0.1505297194106976
code2vec,leiden,-0.006351640776525946
code2vec,leiden,-0.17620618599214732
code2vec,leiden,-0.18892339816349268
code2vec,leiden,-0.15520741813018168
code2vec,leiden,-0.006877578860521094
code2vec,leiden,-0.11631685486233645
code2vec,leiden,-0.042362229157027365
code2vec,leiden,-0.1056000299791191
code2vec,leiden,-0.28917950778247214
code2vec,leiden,0.16496709581223545
code2vec,leiden,-0.10241573183519748
code2vec,leiden,-0.007948864541763245
code2vec,leiden,0.06965183229317862
code2vec,leiden,-0.13499002351368905
code2vec,leiden,-0.1021019002955581
code2vec,leiden,-0.02517594824709468
code2vec,leiden,-0.021624442849750847
code2vec,leiden,-0.33400408946515825
code2vec,leiden,-0.00403915259194676
code2vec,leiden,-0.17892077840966703
code2vec,leiden,-0.12401165376528123
code2vec,leiden,0.03596239439609794
code2vec,leiden,-0.05821903992698618
code2vec,leiden,-0.17088569367906092
code2vec,leiden,-0.08586263110845738
code2vec,leiden,-0.08016256381919729
code2vec,leiden,0.16789141904556093
code2vec,leiden,0.006883737628853415
code2vec,leiden,-0.21499160682835972
code2vec,leiden,-0.30936763847897913
code2vec,leiden,-0.08416159900567977
code2vec,leiden,0.08419321915384903
code2vec,leiden,-0.18123454872892386
code2vec,leiden,0.14252323439697512
code2vec,leiden,-0.016956726089281893
code2vec,leiden,0.005270341592393368
code2vec,leiden,-0.08073492165864582
code2vec,leiden,0.09157368775891983
code2vec,leiden,-0.24743757455181997
code2vec,leiden,-0.12843731865003527
code2vec,leiden,0.0031655902125585778
code2vec,leiden,-0.22943535210591604
code2vec,leiden,-0.10154071499982043
code2vec,leiden,0.03210660578788427
code2vec,leiden,-0.12035933732306126
code2vec,leiden,-0.22349537624490823
code2vec,leiden,0.09515131689732537
code2vec,leiden,-0.23475780161699844
code2vec,leiden,-0.16074832205930367
code2vec,leiden,-0.09614269018358679
code2vec,leiden,0.10953539451213434
code2vec,leiden,-0.1672045117014732
code2vec,leiden,-0.09593908107116722
code2vec,leiden,-0.15768253723134018
code2vec,leiden,-0.08425595959021581
code2vec,leiden,-0.1772571181329491
code2vec,leiden,-0.23929462397766832
code2vec,leiden,0.24570087942665197
code2vec,leiden,-0.1656914296989418
code2vec,leiden,-0.04777555199355821
code2vec,leiden,-0.03589801434058493
code2vec,leiden,-0.0469744057885334
code2vec,leiden,-0.2255941259060702
code2vec,leiden,-0.071856005088059
code2vec,leiden,-0.08943749684945823
code2vec,leiden,0.009961705780196062
code2vec,leiden,-0.1256891479125548
code2vec,leiden,0.14010845710687958
code2vec,leiden,0.11886688650806176
code2vec,leiden,-0.0821552176610496
code2vec,leiden,-0.08585770544798732
code2vec,leiden,
code2vec,leiden,-0.061205424109152196
code2vec,leiden,-0.17173453802888627
code2vec,leiden,0.006210908005226168
code2vec,leiden,-0.10281191234610343
code2vec,leiden,-0.0745851627187778
code2vec,leiden,-0.16180427976427203
code2vec,leiden,0.09880188989448602
code2vec,leiden,-0.13210144731214435
code2vec,leiden,0.045392695359433355
code2vec,leiden,-0.13726643552004514
code2vec,leiden,-0.1881197546307526
code2vec,leiden,-0.17030479136859866
code2vec,leiden,-0.18130314510396706
code2vec,leiden,-0.052522218146655586
code2vec,leiden,-0.14389152961895935
code2vec,leiden,-0.2991813078685648
code2vec,leiden,-0.21050580159819
code2vec,leiden,0.07071464477196066
code2vec,leiden,0.2571878188602158
code2vec,leiden,-0.05068198020216952
code2vec,leiden,-0.13327313675632257
code2vec,leiden,0.02469060805123302
code2vec,leiden,-0.1261330463924749
code2vec,leiden,-0.05636912486246137
code2vec,leiden,-0.2226901067328364
code2vec,leiden,-0.15193659741283738
code2vec,leiden,-0.1531135251116137
code2vec,leiden,
code2vec,leiden,-0.08422963358969637
code2vec,leiden,0.15608514706536347
code2vec,leiden,-0.2818311923569017
code2vec,leiden,-0.2680016203540892
code2vec,leiden,0.02719160928787101
code2vec,leiden,-0.04152385309558759
code2vec,leiden,-0.1142931170528364
code2vec,leiden,-0.2151580684091381
code2vec,leiden,-0.009256266540713542
code2vec,leiden,0.006927641477322499
code2vec,leiden,-0.00734673399824759
code2vec,leiden,-0.2043948870843264
code2vec,leiden,-0.11217021167232333
code2vec,leiden,-0.14534969575501022
code2vec,leiden,-0.06341650431354495
code2vec,leiden,-0.07489850174388679
code2vec,leiden,-0.16017593828012244
code2vec,leiden,0.03751526861899657
code2vec,leiden,-0.24428565002643798
code2vec,leiden,0.02439651923214914
code2vec,leiden,-0.016463237737814107
code2vec,leiden,0.14595590076282783
code2vec,leiden,-0.027477445745182072
code2vec,leiden,-0.2218207008632106
code2vec,leiden,-0.07720388718975602
code2vec,leiden,0.10292445758838509
code2vec,leiden,-0.0048763913940261805
code2vec,leiden,0.004504819957458661
code2vec,leiden,0.016545042788938424
code2vec,leiden,-0.20817845619976316
code2vec,leiden,-0.10088141120694138
code2vec,leiden,-0.07431809464731087
code2vec,leiden,-0.013590826884702811
code2vec,leiden,-0.006774802245330003
code2vec,leiden,-0.14868717385010777
code2vec,leiden,-0.17565839213521184
code2vec,leiden,-0.18784272080021214
code2vec,leiden,-0.16856997906439497
code2vec,leiden,-0.05382971005157111
code2vec,leiden,-0.004732092960008538
code2vec,leiden,-0.10718418634858506
code2vec,leiden,-0.24361617294254378
code2vec,leiden,-0.1375150785770365
code2vec,leiden,-0.3301772872230801
code2vec,leiden,-0.16955106141882048
code2vec,leiden,-0.2660670341825613
code2vec,leiden,0.07721099677071275
code2vec,leiden,0.03165068884695721
code2vec,leiden,-0.0368944786313159
code2vec,leiden,-0.0849502111132805
code2vec,leiden,-0.0766526372589138
code2vec,leiden,-0.056488300142423786
code2vec,leiden,0.10952063946385948
code2vec,leiden,-0.0031809879637177962
code2vec,leiden,-0.1083260493866618
code2vec,leiden,-0.21459652179460276
code2vec,leiden,-0.1329910144939721
code2vec,leiden,0.041496537797173216
code2vec,leiden,-0.06229494776172917
code2vec,leiden,0.11163551227875468
code2vec,leiden,0.006190646891467644
code2vec,leiden,-0.010859221553820353
code2vec,leiden,-0.12185567402762243
code2vec,leiden,0.10749901667665562
code2vec,leiden,-0.03844951005344022
code2vec,leiden,0.06705419634738352
code2vec,leiden,-0.20595605852067445
code2vec,leiden,-0.120905767492544
code2vec,leiden,-0.08875105128266392
code2vec,leiden,-0.11610544947795598
code2vec,leiden,-0.2551236933955485
code2vec,leiden,0.14249666177164166
code2vec,leiden,-0.08553373454632995
code2vec,leiden,0.02579245327073154
code2vec,leiden,-0.17845458116559798
code2vec,leiden,-0.0985949793234493
code2vec,leiden,-0.1628568804201842
code2vec,leiden,-0.1545298555378457
code2vec,leiden,-0.08051395894649105
code2vec,leiden,0.12626860295575415
code2vec,leiden,0.023906788409711943
code2vec,leiden,-0.17572392598816888
code2vec,leiden,-0.11183957689656476
code2vec,leiden,-0.012700634213751005
code2vec,leiden,-0.0355784114754405
code2vec,leiden,-0.18779645880617268
code2vec,leiden,-0.027162704791480863
code2vec,leiden,-0.10177782792546464
code2vec,leiden,0.14048923244901712
code2vec,leiden,-0.11988169294502349
code2vec,leiden,-0.16355530163243992
code2vec,leiden,-0.02939364386071941
code2vec,leiden,0.12549550387284936
code2vec,leiden,-0.18474697785777577
code2vec,leiden,0.06663458460414373
code2vec,leiden,-0.09775440724230666
code2vec,leiden,-0.18729754641643848
code2vec,leiden,-0.23346322882723625
code2vec,leiden,-0.1367004095686848
code2vec,leiden,-0.18810034771790762
code2vec,leiden,0.026544308985552267
code2vec,leiden,0.032481913571351995
code2vec,leiden,0.00787811990973386
code2vec,leiden,-0.06325302042854608
code2vec,leiden,-0.12462817826712413
code2vec,leiden,-0.002199934172056217
code2vec,leiden,-0.1703862913738019
code2vec,leiden,-0.0425579301457808
code2vec,leiden,0.07657979549879246
code2vec,leiden,0.030047675883990377
code2vec,leiden,0.10411413515081114
code2vec,leiden,0.004008816358004097
code2vec,leiden,-0.10400296178850565
code2vec,leiden,-0.17486963069481565
code2vec,leiden,-0.15902767586058042
code2vec,leiden,-0.18898517024701017
code2vec,leiden,-0.02586167514383475
code2vec,leiden,0.08630794783253137
code2vec,leiden,
code2vec,leiden,-0.21500628210404038
code2vec,leiden,-0.08063171597931051
code2vec,leiden,-0.11478782099254137
code2vec,leiden,0.05892308762128773
code2vec,leiden,-0.1630021370482444
code2vec,leiden,-0.16415320918188503
code2vec,leiden,-0.002525439564165066
code2vec,leiden,0.040480840296805876
code2vec,leiden,0.012017687225952534
code2vec,leiden,-0.21728026231833486
code2vec,leiden,-0.14396627757496572
code2vec,leiden,0.015283670046113529
code2vec,leiden,-0.22682753839492054
code2vec,leiden,0.11090278698918632
code2vec,leiden,-0.3165083310291227
code2vec,leiden,-0.026151137478325315
code2vec,leiden,-0.10325293532996405
code2vec,leiden,-0.20828556143499866
code2vec,leiden,-0.03675207515883239
code2vec,leiden,-0.20040716618050003
code2vec,leiden,-0.14048049601338664
code2vec,leiden,0.017581301444007602
code2vec,leiden,0.06686491784274684
code2vec,leiden,-0.23159358472199743
code2vec,leiden,-0.1568261494990978
code2vec,leiden,-0.14532032749850043
code2vec,leiden,-0.1343872609661234
code2vec,leiden,-0.10678466552002186
code2vec,leiden,-0.09369841885886365
code2vec,leiden,-0.06299982100014645
code2vec,leiden,0.03612664846467739
code2vec,leiden,-0.26742529115137037
code2vec,leiden,0.00505922293810912
code2vec,leiden,0.08911085842779531
code2vec,leiden,-0.3121247005544938
code2vec,leiden,-0.06794784672586618
code2vec,leiden,0.007717058064778515
code2vec,leiden,-0.09870540269863526
code2vec,leiden,0.03133429442829694
code2vec,leiden,0.15272902447670123
code2vec,leiden,-0.029519468958566497
code2vec,leiden,-0.15155226321921167
code2vec,leiden,-0.2197326082923049
code2vec,leiden,-0.01885025040879651
code2vec,leiden,-0.11006393826035943
code2vec,leiden,-0.15315427720735741
code2vec,leiden,-0.1380809328830903
code2vec,leiden,-0.06371101263116963
code2vec,leiden,-0.08254253128142564
code2vec,leiden,0.05136813765813808
code2vec,leiden,-0.27785128862572506
code2vec,leiden,-0.18886261470893728
code2vec,leiden,-0.03296768416006002
code2vec,leiden,0.07146902285324463
code2vec,leiden,0.024825657637275178
code2vec,leiden,-0.09353087549025396
code2vec,leiden,-0.16072733742100453
code2vec,leiden,0.023212391011816047
code2vec,leiden,-0.0686154926185173
code2vec,leiden,0.12024774222558537
code2vec,infomap,-0.1943898122074741
code2vec,infomap,0.0823456978320064
code2vec,infomap,-0.03542142478689003
code2vec,infomap,0.19169384328390715
code2vec,infomap,0.09393491865843062
code2vec,infomap,-0.44857985650935006
code2vec,infomap,-0.04444389368324497
code2vec,infomap,0.13268869155690188
code2vec,infomap,-0.35949950739772474
code2vec,infomap,-0.17727738474985866
code2vec,infomap,0.07953887307584684
code2vec,infomap,0.2052263444965754
code2vec,infomap,0.058653167211220936
code2vec,infomap,0.26023810560174043
code2vec,infomap,-0.06460442535765276
code2vec,infomap,0.19902292945697153
code2vec,infomap,-0.37982123713204613
code2vec,infomap,-0.032340871849254826
code2vec,infomap,-0.1921268074221546
code2vec,infomap,-0.29365097482297464
code2vec,infomap,-0.05665609895972268
code2vec,infomap,-0.3715102540729029
code2vec,infomap,0.12906785248831276
code2vec,infomap,-0.3610508888558567
code2vec,infomap,-0.0538673982801493
code2vec,infomap,-0.3633606608036605
code2vec,infomap,0.10707033340872141
code2vec,infomap,0.1757055640485936
code2vec,infomap,-0.06845502222732958
code2vec,infomap,0.15455623146175768
code2vec,infomap,0.24619424014452151
code2vec,infomap,-0.14368434443179912
code2vec,infomap,0.20922505888726994
code2vec,infomap,0.08281495911614778
code2vec,infomap,
code2vec,infomap,0.024025092645147184
code2vec,infomap,-0.16238533537527167
code2vec,infomap,0.033938345430227224
code2vec,infomap,-0.3325581418511422
code2vec,infomap,0.1048548782131612
code2vec,infomap,0.13911795255376458
code2vec,infomap,-0.22285449202332797
code2vec,infomap,0.2501438124047846
code2vec,infomap,-0.22905702970612896
code2vec,infomap,-0.1987947778957132
code2vec,infomap,-0.02616281932864828
code2vec,infomap,-0.12243361996647084
code2vec,infomap,0.05211550027891898
code2vec,infomap,-0.17354969517242214
code2vec,infomap,-0.1282740264829466
code2vec,infomap,-0.12488868000458109
code2vec,infomap,-0.13288144189426787
code2vec,infomap,-0.14438632187101008
code2vec,infomap,0.22346879507286688
code2vec,infomap,-0.059618849297945475
code2vec,infomap,-0.06967495907259047
code2vec,infomap,-0.3162340387241578
code2vec,infomap,0.20901904828329843
code2vec,infomap,-0.2980468116606183
code2vec,infomap,0.0860648909225572
code2vec,infomap,0.12935017215719768
code2vec,infomap,-0.43983990161002995
code2vec,infomap,0.14481116396898808
code2vec,infomap,0.08084570733685303
code2vec,infomap,0.05878380553887652
code2vec,infomap,-0.19051264627353381
code2vec,infomap,0.16970960035565752
code2vec,infomap,0.1395412712555969
code2vec,infomap,0.18785798280476174
code2vec,infomap,-0.023791428649418855
code2vec,infomap,-0.11489199588574228
code2vec,infomap,-0.012979418915439744
code2vec,infomap,-0.12019584552190599
code2vec,infomap,-0.1274066864129757
code2vec,infomap,0.22187067646082453
code2vec,infomap,-0.08195362304295739
code2vec,infomap,0.09370977678958325
code2vec,infomap,-0.10765825142310392
code2vec,infomap,0.1735658872639504
code2vec,infomap,0.15396309747416315
code2vec,infomap,0.08848266576828323
code2vec,infomap,0.08537105641749387
code2vec,infomap,-0.036494870879971275
code2vec,infomap,0.08276323237431404
code2vec,infomap,0.10247915274830954
code2vec,infomap,-0.021619371334164694
code2vec,infomap,-0.14699135841701216
code2vec,infomap,-0.12655522382124496
code2vec,infomap,-0.3307685638705853
code2vec,infomap,0.12949988136295887
code2vec,infomap,-0.0932765573643356
code2vec,infomap,-0.10202801710927545
code2vec,infomap,0.06958602271088932
code2vec,infomap,0.019832688073729066
code2vec,infomap,-0.006128396587972373
code2vec,infomap,-0.11742850919022685
code2vec,infomap,0.14941357276763245
code2vec,infomap,0.13093002117340846
code2vec,infomap,
code2vec,infomap,0.1328459409889141
code2vec,infomap,-0.243892569322829
code2vec,infomap,-0.050527903177424505
code2vec,infomap,-0.32299577402603585
code2vec,infomap,0.17301385783502865
code2vec,infomap,0.0466677674879461
code2vec,infomap,-0.052575857874478826
code2vec,infomap,-0.26187128425766315
code2vec,infomap,0.0860020297092351
code2vec,infomap,-0.14082943855317687
code2vec,infomap,0.021026166821235148
code2vec,infomap,0.1357830390007223
code2vec,infomap,0.11974642858539064
code2vec,infomap,-0.10382332257714522
code2vec,infomap,-0.10651072097354775
code2vec,infomap,-0.2764337985921801
code2vec,infomap,-0.08184799898585227
code2vec,infomap,-0.30080863206902464
code2vec,infomap,-0.14671093424990722
code2vec,infomap,-0.0968692003286703
code2vec,infomap,-0.0368887854550457
code2vec,infomap,-0.0725234289403427
code2vec,infomap,0.14750008482197763
code2vec,infomap,0.11547805365427988
code2vec,infomap,0.07201147899116433
code2vec,infomap,-0.059051932904308435
code2vec,infomap,0.2312062629603796
code2vec,infomap,-0.08472018798903369
code2vec,infomap,-0.4212469390237663
code2vec,infomap,0.0026405379890253045
code2vec,infomap,0.07857508743021957
code2vec,infomap,-0.31218843978250344
code2vec,infomap,0.14755398725182067
code2vec,infomap,0.062457598970755424
code2vec,infomap,0.009526435936438205
code2vec,infomap,-0.2980729230536504
code2vec,infomap,-0.417828503607799
code2vec,infomap,-0.10470827535236249
code2vec,infomap,0.058313844915006685
code2vec,infomap,-0.09596372041009671
code2vec,infomap,-0.3040063840797317
code2vec,infomap,0.0018485381451276428
code2vec,infomap,-0.11877608790722671
code2vec,infomap,0.066272416678412
code2vec,infomap,-0.053093544669547854
code2vec,infomap,0.00650067447317193
code2vec,infomap,0.1549609427148786
code2vec,infomap,-0.11288914547944118
code2vec,infomap,-0.504045940872249
code2vec,infomap,-0.251374625434849
code2vec,infomap,-0.2158413392489661
code2vec,infomap,0.0895150959540375
code2vec,infomap,-0.07291840072449696
code2vec,infomap,-0.1294144403198264
code2vec,infomap,-0.40535327703630153
code2vec,infomap,0.2012295532789199
code2vec,infomap,-0.3945334884631667
code2vec,infomap,0.006481877238592726
code2vec,infomap,-0.08681977355047621
code2vec,infomap,-0.1228298524886251
code2vec,infomap,-0.13327972401226718
code2vec,infomap,-0.08723921129853485
code2vec,infomap,0.12472647671952042
code2vec,infomap,0.2623865183558287
code2vec,infomap,-0.09650795581252392
code2vec,infomap,-0.03585267142919912
code2vec,infomap,0.0641773593463072
code2vec,infomap,0.10569215964694845
code2vec,infomap,-0.085310044448904
