,cohesion,comm_algorithm,dep_sim_corr,feature_algorithm,inter_similarity,project,silhouette
0,0.6501913404990971,leiden,0.24381672600314022,code2vec,0.6999211713236143,activej,-0.05913763171054175
1,0.7007667496228953,leiden,0.16345103634216063,code2vec,0.5626521669847699,activemq,-0.21001072425584888
2,0.6143715127853399,leiden,-0.7690624566823117,code2vec,0.7766105951907388,adt4j,-0.015691823388657235
3,0.6529019173391718,leiden,0.29553780242338973,code2vec,0.7032636638093026,Aeron,-0.11375497776943867
4,0.6091878444952481,leiden,0.07361912973159683,code2vec,0.5072628194522657,Agrona,0.01057254599019691
5,0.6735531796531129,leiden,-0.2372375804536525,code2vec,0.8602980619037699,airline,0.03978823098966697
6,0.5911738422603524,leiden,0.21709514996010743,code2vec,0.6307807860658423,antlr4,0.11145534884279215
7,0.6087004983236879,leiden,-0.1611752259210042,code2vec,0.786930257377525,apollo,-0.016176521305095136
8,0.4242409647698958,leiden,0.0569928017407599,code2vec,0.7436492462733705,arangodb-java-driver,-0.0070826829303811826
9,0.6422132937768339,leiden,0.20575484677030667,code2vec,0.8084502014761392,ArchUnit,-0.041399072483224615
10,0.6185404538908095,leiden,0.011958459208409452,code2vec,0.7573229941154918,args4j,0.08470778579537075
11,0.6061301736023131,leiden,0.2963529629272648,code2vec,0.793631157049826,armeria,0.001945039471600969
12,0.7219001956668011,leiden,0.1732542944274397,code2vec,0.7402297137412913,arquillian-core,-0.029851812283581122
13,0.5535981540030072,leiden,0.24818105918883143,code2vec,0.6414271893261206,arthas,-0.03165129164434528
14,0.6683455366855711,leiden,-0.19188255713435928,code2vec,0.6799026678369933,assertj-core,0.09535540658316974
15,0.5741872083115747,leiden,0.0648794339340284,code2vec,0.7041869040881552,async-http-client,0.0035086952349198466
16,0.6257430289828261,leiden,0.2274785007491179,code2vec,0.7583842403526077,atomix,-0.05628150926982943
17,0.6197678643463048,leiden,0.24883920425006884,code2vec,0.905122713074961,attic-aurora,-0.03581232881880668
18,0.6793911706629973,leiden,0.2079655804871602,code2vec,0.8432008166100662,auto,0.0086967795003462
19,0.6545474061374842,leiden,-0.01458316014707376,code2vec,0.7667176178098075,jsoup,0.04170277688832889
20,0.5386109463454293,leiden,0.18350374671823877,code2vec,0.6839606421004395,jtk,-0.013040113225038561
21,0.7321350915982155,leiden,-0.13814130078473771,code2vec,0.7955515959117605,junit-dataprovider,0.059410141343667816
22,0.6570975946978028,leiden,0.28619265338850786,code2vec,0.7319960964416896,junit5,-0.08582508247064698
23,0.6206526749842263,leiden,0.23153242380632993,code2vec,0.7808286132643487,kafka,0.006479369552482541
24,0.6666700666939717,leiden,0.15222912540871897,code2vec,0.6291547980749751,karate,-0.054521495498473724
25,0.6312696871708826,leiden,-0.22647382656144363,code2vec,0.8755553371973206,keywhiz,-0.02182749372201606
26,0.6623302530356606,leiden,-0.03752217150022969,code2vec,0.6452229088750269,Koloboke,0.2063779951294776
27,0.6421174258544833,leiden,-0.49520470377767256,code2vec,0.6177209066223341,lambda-behave,0.05528712541315451
28,0.5644616487943865,leiden,-0.2886414936252953,code2vec,0.5809248865322006,lanterna,-0.013844342655130959
29,0.6519109743119189,leiden,0.23972813925044933,code2vec,0.5059550735490911,light-4j,-0.006752240068079195
30,0.7061286237474931,leiden,-0.21893689936863103,code2vec,0.7992951825706422,LoganSquare,0.15692443239422713
31,0.6640051732586104,leiden,0.24471351209512998,code2vec,0.6914826190037925,logback,-0.030148530834111335
32,0.723359702364338,leiden,-0.23213772422154058,code2vec,0.7233195374083785,cfg4j,0.0645665071780105
33,0.6464588273343076,leiden,0.07252624299665972,code2vec,0.6676491287011642,cglib,0.01970070021530068
34,0.6205630306664172,leiden,0.23127061212928549,code2vec,0.7111454815012954,checkstyle,0.01621276047133201
35,0.5455273002344524,leiden,0.16437536257559818,code2vec,0.7051331371355775,choco-solver,0.005505089087416146
36,0.7288583665218057,leiden,0.2580494374463906,code2vec,0.5882972671753565,Chronicle-Map,0.02585815769497971
37,0.5343938069691959,leiden,0.2318453437056254,code2vec,0.7214552751744496,citrus,-0.04479606414972065
38,0.6413893456407816,leiden,-0.10964763340631248,code2vec,0.7865768970285538,classgraph,-0.0139272689434086
39,0.6873504391479779,leiden,-0.414336861210943,code2vec,0.7635625207273901,client_java,-0.03517570020870818
40,0.6332414247333386,leiden,0.23586055222904562,code2vec,0.5726163446156982,clover,-0.09578605543643026
41,0.6648066128154232,leiden,0.15281854064841963,code2vec,0.5412568360228884,cobertura,0.01586347095850253
42,0.5817593693158362,leiden,0.22554989828261396,code2vec,0.47565355147919636,CodenameOne,-0.042234118117330036
43,0.5356363539968231,leiden,-0.4107521279426561,code2vec,0.7191044583597891,commons-bcel,0.2560271411746934
44,0.7160747709501927,leiden,-0.2549753773334828,code2vec,0.8168024222375747,commons-beanutils,0.20017723501024617
45,0.6675725662725815,leiden,0.09508887053620119,code2vec,0.673440685034357,commons-bsf,0.12140953808155236
46,0.78500588491766,leiden,0.04910420779570913,code2vec,0.6656944927740652,commons-chain,0.08846070659924109
47,0.7099243578291191,leiden,-0.17959542563392983,code2vec,0.7749523753818717,commons-collections,0.14159315085607294
48,0.6238596939480832,leiden,-0.04809005991405228,code2vec,0.8595238073050272,commons-compress,-0.040732461786621994
49,0.6767063899289839,leiden,0.00822161301983647,code2vec,0.7940731752825266,commons-configuration,-0.032030399812708686
50,0.6170432538475208,leiden,-0.10173810744467973,code2vec,0.7162571472003159,commons-dbcp,0.010347423827401218
51,0.8155455252830416,leiden,-0.1752971419251148,code2vec,0.7605125432468525,commons-dbutils,0.34824228883230024
52,0.676918211623001,leiden,0.005900995229966996,code2vec,0.7807822942551332,commons-digester,-0.013952243836382505
53,0.7712302896606136,leiden,-0.2667514817008012,code2vec,0.7873514815552508,commons-exec,0.1225390238849297
54,0.6974833480350915,leiden,-0.14605878932443447,code2vec,0.7598780678374996,commons-fileupload,0.061514171281962175
55,0.843302558996463,leiden,0.2564015063025273,code2vec,0.7219447156074325,commons-functor,0.18426756866847982
56,0.732834037292067,leiden,0.2740736510610465,code2vec,0.7819758445522631,commons-imaging,-0.031467231926045426
57,0.775089376959675,leiden,0.03540383762167818,code2vec,0.7134771910753481,commons-io,0.042031832856269505
58,0.6621579571351575,leiden,-0.8817896020308148,code2vec,0.7984191821139233,commons-jci,-0.03408271900882298
59,0.702008827667029,leiden,0.3539441006888118,code2vec,0.6841714721762076,commons-jcs,0.006297196470076574
60,0.7235212024876387,leiden,-0.27112721153442315,code2vec,0.7869330254703266,commons-jexl,0.10336902891586937
61,0.7586800089118403,leiden,0.18308312923409323,code2vec,0.6882072446444745,commons-lang,-0.04636230918495673
62,0.5786808451465923,leiden,0.24941209677730866,code2vec,0.6928785165864882,commons-math,0.004704425495817497
63,0.654781597821234,leiden,0.08152475879161752,code2vec,0.732448243133943,commons-net,-0.0535796605330822
64,0.6304256447250749,leiden,-0.4564389043171427,code2vec,0.9057373998109237,commons-ognl,0.06916591657546495
65,0.7443527074455232,leiden,-0.3235287381799457,code2vec,0.8156669506504918,commons-proxy,0.024902802005058258
66,0.7615779504690909,leiden,-0.20309281152847294,code2vec,0.8717300911368716,commons-rdf,-0.027321912136511348
67,0.7878211752418743,leiden,-0.25035783213911544,code2vec,0.8938248136374489,commons-rng,0.07625454022532235
68,0.5861447497500196,leiden,-0.3376890579013189,code2vec,0.8732685593810641,commons-scxml,0.03641430842847233
69,0.7949137261782807,leiden,0.0848663995865365,code2vec,0.751519153228967,commons-validator,0.20863210149478442
70,0.6519456543441657,leiden,0.2925916869992529,code2vec,0.7043166750418932,commons-vfs,0.0048873020157012325
71,0.6818566101788704,leiden,0.22488901249849377,code2vec,0.5092327116056675,comsat,0.06817980996659774
72,0.5586254637850707,leiden,-0.7260508681363431,code2vec,0.8853298437945849,config,0.04257492254826283
73,0.8378976315559232,leiden,-0.20818703528994997,code2vec,0.949818526319874,connect-java-sdk,-0.15731561818860787
74,0.6576054325315328,leiden,-0.2584530861985052,code2vec,0.7728840420109472,consul-api,-0.06181135047671684
75,0.8222022232307828,leiden,-0.18938945292531126,code2vec,0.634578813966272,cqengine,0.18556494804000825
76,0.7013262814753483,leiden,0.12052094071929702,code2vec,0.6716687842863048,avro,0.0495713478398527
77,0.6646834664869343,leiden,0.1787387361407708,code2vec,0.7525480243526362,centraldogma,-0.023881414789833477
78,0.7046302583976497,leiden,-0.305794657353227,code2vec,0.8341778343154673,commons-codec,0.02769054960413044
