algorithm,num
leiden,22
leiden,12
leiden,9
leiden,20
leiden,8
leiden,12
leiden,19
leiden,8
leiden,9
leiden,5
leiden,7
leiden,9
leiden,9
leiden,19
leiden,16
leiden,6
leiden,9
leiden,5
leiden,12
leiden,4
leiden,29
leiden,9
leiden,13
leiden,11
leiden,16
leiden,10
leiden,7
leiden,8
leiden,19
leiden,5
leiden,22
leiden,38
leiden,9
leiden,13
leiden,8
leiden,7
leiden,6
leiden,7
leiden,11
leiden,19
leiden,6
leiden,7
leiden,4
leiden,10
leiden,8
leiden,15
leiden,24
leiden,9
leiden,26
leiden,4
leiden,5
leiden,8
leiden,8
leiden,12
leiden,7
leiden,7
leiden,13
leiden,5
leiden,22
leiden,13
leiden,7
leiden,10
leiden,9
leiden,5
leiden,10
leiden,16
leiden,11
leiden,5
leiden,18
leiden,9
leiden,18
leiden,12
leiden,8
leiden,7
leiden,5
leiden,21
leiden,17
leiden,22
leiden,7
leiden,6
leiden,8
leiden,9
leiden,35
leiden,8
leiden,8
leiden,7
leiden,5
leiden,8
leiden,8
leiden,10
leiden,20
leiden,8
leiden,4
leiden,5
leiden,6
leiden,8
leiden,11
leiden,14
leiden,10
leiden,11
leiden,4
leiden,49
leiden,4
leiden,14
leiden,8
leiden,14
leiden,3
leiden,10
leiden,24
leiden,22
leiden,53
leiden,7
leiden,10
leiden,5
leiden,12
leiden,8
leiden,7
leiden,10
leiden,14
leiden,4
leiden,11
leiden,11
leiden,12
leiden,109
leiden,8
leiden,16
leiden,20
infomap,5
infomap,13
infomap,3
infomap,5
infomap,9
infomap,4
infomap,8
infomap,4
infomap,6
infomap,11
infomap,3
infomap,9
infomap,6
infomap,7
infomap,2
infomap,5
infomap,9
infomap,5
infomap,3
infomap,4
infomap,6
infomap,2
infomap,4
infomap,10
infomap,5
infomap,3
infomap,3
infomap,2
infomap,3
infomap,5
infomap,2
infomap,5
infomap,3
infomap,2
infomap,5
infomap,3
infomap,6
infomap,16
infomap,9
infomap,4
infomap,5
infomap,5
infomap,4
infomap,11
infomap,6
infomap,3
infomap,4
infomap,4
infomap,4
infomap,4
infomap,3
infomap,4
infomap,2
infomap,2
infomap,5
infomap,3
infomap,6
infomap,5
infomap,3
infomap,8
infomap,8
infomap,3
infomap,6
infomap,4
infomap,4
infomap,2
infomap,3
infomap,2
infomap,3
infomap,4
infomap,27
infomap,10
infomap,6
infomap,5
infomap,2
infomap,4
infomap,2
infomap,5
infomap,5
infomap,3
infomap,6
infomap,23
infomap,5
infomap,2
infomap,6
infomap,2
infomap,3
infomap,3
infomap,5
infomap,3
infomap,4
infomap,4
infomap,6
infomap,10
infomap,29
infomap,2
infomap,4
infomap,5
infomap,3
infomap,21
infomap,2
infomap,17
infomap,4
infomap,11
infomap,12
infomap,2
infomap,8
infomap,5
infomap,4
infomap,3
infomap,7
infomap,4
infomap,3
infomap,5
infomap,2
infomap,7
infomap,5
infomap,5
infomap,7
infomap,4
infomap,3
infomap,8
infomap,13
infomap,16
infomap,2
infomap,2
infomap,5
infomap,3
infomap,3
infomap,5
infomap,2
infomap,4
infomap,2
infomap,10
infomap,4
infomap,7
infomap,3
infomap,9
infomap,2
infomap,10
infomap,3
infomap,9
infomap,7
infomap,5
infomap,6
infomap,2
infomap,2
infomap,4
infomap,4
infomap,4
infomap,2
infomap,2
infomap,11
infomap,2
infomap,3
infomap,7
infomap,3
infomap,2
infomap,3
infomap,33
infomap,2
infomap,31
infomap,2
infomap,4
infomap,9
infomap,17
infomap,5
infomap,11
infomap,8
infomap,23
infomap,3
infomap,3
infomap,6
infomap,5
infomap,2
infomap,2
infomap,7
infomap,5
infomap,6
infomap,15
infomap,4
infomap,13
infomap,10
infomap,12
infomap,3
infomap,4
infomap,8
infomap,3
infomap,3
infomap,2
infomap,7
infomap,4
infomap,19
infomap,3
infomap,4
infomap,3
infomap,2
infomap,3
infomap,7
infomap,2
infomap,3
infomap,8
infomap,11
infomap,2
infomap,16
infomap,10
infomap,2
infomap,6
infomap,2
infomap,2
infomap,4
infomap,2
infomap,3
infomap,2
infomap,2
infomap,12
infomap,2
infomap,14
infomap,36
infomap,9
infomap,16
infomap,3
infomap,5
infomap,4
infomap,5
infomap,4
infomap,2
infomap,4
infomap,2
infomap,13
infomap,7
infomap,3
infomap,3
infomap,2
infomap,5
infomap,4
infomap,2
infomap,5
infomap,2
infomap,6
infomap,3
infomap,4
infomap,7
infomap,26
infomap,3
infomap,6
infomap,28
infomap,2
infomap,3
infomap,2
infomap,5
infomap,2
infomap,3
infomap,2
infomap,6
infomap,4
infomap,6
infomap,14
infomap,4
infomap,4
infomap,15
infomap,5
infomap,4
infomap,8
infomap,2
infomap,6
infomap,11
infomap,2
infomap,3
infomap,2
infomap,8
infomap,2
infomap,2
infomap,4
infomap,3
infomap,14
infomap,3
infomap,8
infomap,2
infomap,4
infomap,3
infomap,3
infomap,2
infomap,16
infomap,3
infomap,6
infomap,8
infomap,4
infomap,5
infomap,4
infomap,3
infomap,3
infomap,3
infomap,3
infomap,4
infomap,3
infomap,7
infomap,3
infomap,2
infomap,4
infomap,2
infomap,3
infomap,2
infomap,20
infomap,3
infomap,3
infomap,9
infomap,13
infomap,6
infomap,4
infomap,3
infomap,31
infomap,2
infomap,12
infomap,48
infomap,2
infomap,6
infomap,3
infomap,4
infomap,6
infomap,3
infomap,2
infomap,9
infomap,4
infomap,3
infomap,3
infomap,4
infomap,2
infomap,10
infomap,17
infomap,2
infomap,2
infomap,5
infomap,4
infomap,4
infomap,8
infomap,7
infomap,10
infomap,4
infomap,10
infomap,3
infomap,11
infomap,7
infomap,2
infomap,3
infomap,5
infomap,4
infomap,3
infomap,9
infomap,5
infomap,3
infomap,6
infomap,4
infomap,8
infomap,5
infomap,3
infomap,3
infomap,4
infomap,16
infomap,4
infomap,17
infomap,2
infomap,3
infomap,2
infomap,3
infomap,26
infomap,3
infomap,2
infomap,9
infomap,2
infomap,5
infomap,14
infomap,2
infomap,17
infomap,3
infomap,2
infomap,3
infomap,4
infomap,2
infomap,30
infomap,5
infomap,3
infomap,5
infomap,3
infomap,24
infomap,2
infomap,4
infomap,5
infomap,2
infomap,2
infomap,3
infomap,4
infomap,3
infomap,22
infomap,3
infomap,8
infomap,2
infomap,6
infomap,3
infomap,2
infomap,4
infomap,6
infomap,4
infomap,6
infomap,8
infomap,2
infomap,110
infomap,2
infomap,2
infomap,8
