algorithm,size
leiden,38
leiden,35
leiden,34
leiden,33
leiden,13
leiden,10
leiden,10
leiden,7
leiden,6
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,27
leiden,4
leiden,249
leiden,147
leiden,139
leiden,123
leiden,119
leiden,113
leiden,75
leiden,69
leiden,25
leiden,16
leiden,9
leiden,9
leiden,12
leiden,9
leiden,7
leiden,6
leiden,30
leiden,27
leiden,20
leiden,12
leiden,12
leiden,10
leiden,7
leiden,5
leiden,76
leiden,55
leiden,52
leiden,40
leiden,26
leiden,24
leiden,24
leiden,19
leiden,16
leiden,16
leiden,12
leiden,115
leiden,112
leiden,70
leiden,56
leiden,48
leiden,44
leiden,42
leiden,20
leiden,6
leiden,4
leiden,4
leiden,21
leiden,19
leiden,16
leiden,15
leiden,12
leiden,8
leiden,8
leiden,59
leiden,54
leiden,42
leiden,40
leiden,34
leiden,32
leiden,32
leiden,29
leiden,27
leiden,26
leiden,86
leiden,79
leiden,79
leiden,61
leiden,49
leiden,42
leiden,17
leiden,8
leiden,53
leiden,52
leiden,47
leiden,42
leiden,37
leiden,33
leiden,32
leiden,25
leiden,16
leiden,18
leiden,17
leiden,11
leiden,10
leiden,9
leiden,8
leiden,7
leiden,5
leiden,21
leiden,20
leiden,19
leiden,17
leiden,12
leiden,9
leiden,29
leiden,23
leiden,20
leiden,9
leiden,9
leiden,8
leiden,8
leiden,6
leiden,5
leiden,26
leiden,22
leiden,17
leiden,7
leiden,28
leiden,25
leiden,25
leiden,22
leiden,16
leiden,13
leiden,51
leiden,39
leiden,35
leiden,31
leiden,29
leiden,24
leiden,21
leiden,19
leiden,17
leiden,17
leiden,16
leiden,8
leiden,98
leiden,89
leiden,86
leiden,79
leiden,71
leiden,52
leiden,47
leiden,44
leiden,30
leiden,23
leiden,14
leiden,13
leiden,12
leiden,10
leiden,8
leiden,7
leiden,6
leiden,5
leiden,4
leiden,32
leiden,26
leiden,25
leiden,21
leiden,21
leiden,13
leiden,8
leiden,7
leiden,16
leiden,12
leiden,8
leiden,6
leiden,61
leiden,57
leiden,54
leiden,34
leiden,32
leiden,32
leiden,29
leiden,29
leiden,28
leiden,28
leiden,27
leiden,25
leiden,25
leiden,17
leiden,15
leiden,13
leiden,12
leiden,9
leiden,8
leiden,7
leiden,6
leiden,5
leiden,4
leiden,4
leiden,4
leiden,10
leiden,9
leiden,7
leiden,9
leiden,9
leiden,8
leiden,6
leiden,236
leiden,216
leiden,213
leiden,180
leiden,180
leiden,136
leiden,118
leiden,115
leiden,100
leiden,99
leiden,43
leiden,29
leiden,16
leiden,14
leiden,10
leiden,9
leiden,48
leiden,36
leiden,34
leiden,31
leiden,30
leiden,27
leiden,19
leiden,11
leiden,11
leiden,10
leiden,9
leiden,8
leiden,197
leiden,161
leiden,131
leiden,115
leiden,108
leiden,108
leiden,86
leiden,69
leiden,60
leiden,26
leiden,19
leiden,18
leiden,13
leiden,9
leiden,8
leiden,8
leiden,6
leiden,6
leiden,5
leiden,64
leiden,38
leiden,33
leiden,31
leiden,30
leiden,23
leiden,20
leiden,18
leiden,12
leiden,10
leiden,7
leiden,5
leiden,4
leiden,4
leiden,26
leiden,19
leiden,19
leiden,7
leiden,206
leiden,132
leiden,101
leiden,88
leiden,78
leiden,56
leiden,43
leiden,20
leiden,17
leiden,16
leiden,16
leiden,13
leiden,11
leiden,10
leiden,7
leiden,6
leiden,4
leiden,4
leiden,99
leiden,68
leiden,61
leiden,42
leiden,36
leiden,35
leiden,29
leiden,28
leiden,23
leiden,22
leiden,18
leiden,8
leiden,6
leiden,6
leiden,37
leiden,10
leiden,8
leiden,7
leiden,67
leiden,63
leiden,56
leiden,46
leiden,41
leiden,41
leiden,36
leiden,25
leiden,16
leiden,9
leiden,63
leiden,50
leiden,43
leiden,35
leiden,34
leiden,33
leiden,28
leiden,12
leiden,6
leiden,155
leiden,121
leiden,116
leiden,71
leiden,63
leiden,42
leiden,31
leiden,29
leiden,21
leiden,17
leiden,12
leiden,9
leiden,9
leiden,8
leiden,8
leiden,6
leiden,5
leiden,4
leiden,16
leiden,16
leiden,14
leiden,11
leiden,6
leiden,37
leiden,29
leiden,29
leiden,14
leiden,13
leiden,9
leiden,8
leiden,5
leiden,36
leiden,33
leiden,29
leiden,25
leiden,19
leiden,12
leiden,12
leiden,12
leiden,11
leiden,10
leiden,9
leiden,8
leiden,8
leiden,5
leiden,5
leiden,5
leiden,30
leiden,28
leiden,16
leiden,12
leiden,11
leiden,10
leiden,10
leiden,6
leiden,147
leiden,121
leiden,114
leiden,92
leiden,83
leiden,82
leiden,74
leiden,73
leiden,65
leiden,58
leiden,57
leiden,47
leiden,41
leiden,38
leiden,28
leiden,20
leiden,10
leiden,7
leiden,6
leiden,4
leiden,33
leiden,32
leiden,32
leiden,19
leiden,16
leiden,8
leiden,5
leiden,4
leiden,161
leiden,129
leiden,58
leiden,57
leiden,45
leiden,43
leiden,40
leiden,31
leiden,21
leiden,14
leiden,12
leiden,10
leiden,10
leiden,4
leiden,4
leiden,48
leiden,33
leiden,23
leiden,22
leiden,21
leiden,21
leiden,17
leiden,15
leiden,10
leiden,4
leiden,25
leiden,9
leiden,7
leiden,6
leiden,4
leiden,52
leiden,33
leiden,23
leiden,5
leiden,9
leiden,9
leiden,8
leiden,8
leiden,6
leiden,5
leiden,92
leiden,64
leiden,55
leiden,52
leiden,32
leiden,27
leiden,16
leiden,8
leiden,149
leiden,92
leiden,91
leiden,87
leiden,67
leiden,64
leiden,50
leiden,38
leiden,36
leiden,32
leiden,32
leiden,28
leiden,26
leiden,25
leiden,22
leiden,17
leiden,16
leiden,7
leiden,6
leiden,5
leiden,5
leiden,5
leiden,118
leiden,68
leiden,57
leiden,55
leiden,52
leiden,40
leiden,17
leiden,16
leiden,14
leiden,11
leiden,10
leiden,5
leiden,33
leiden,20
leiden,19
leiden,17
leiden,17
leiden,16
leiden,13
leiden,10
leiden,5
leiden,77
leiden,53
leiden,42
leiden,41
leiden,38
leiden,35
leiden,24
leiden,22
leiden,15
leiden,14
leiden,13
leiden,13
leiden,11
leiden,11
leiden,11
leiden,11
leiden,8
leiden,8
leiden,5
leiden,4
leiden,42
leiden,35
leiden,33
leiden,33
leiden,25
leiden,17
leiden,15
leiden,9
leiden,187
leiden,101
leiden,58
leiden,57
leiden,53
leiden,50
leiden,39
leiden,37
leiden,34
leiden,17
leiden,15
leiden,4
leiden,152
leiden,71
leiden,56
leiden,25
leiden,18
leiden,18
leiden,12
leiden,11
leiden,10
leiden,9
leiden,9
leiden,9
leiden,9
leiden,7
leiden,7
leiden,7
leiden,6
leiden,6
leiden,4
leiden,47
leiden,29
leiden,25
leiden,24
leiden,23
leiden,20
leiden,20
leiden,10
leiden,27
leiden,23
leiden,21
leiden,17
leiden,13
leiden,12
leiden,9
leiden,8
leiden,4
leiden,20
leiden,10
leiden,9
leiden,6
leiden,6
leiden,17
leiden,12
leiden,12
leiden,11
leiden,8
leiden,8
leiden,7
leiden,90
leiden,89
leiden,87
leiden,73
leiden,60
leiden,60
leiden,54
leiden,24
leiden,16
leiden,13
leiden,11
leiden,11
leiden,11
leiden,11
leiden,10
leiden,6
leiden,5
leiden,4
leiden,80
leiden,68
leiden,51
leiden,50
leiden,41
leiden,39
leiden,34
leiden,26
leiden,24
leiden,24
leiden,22
leiden,21
leiden,18
leiden,10
leiden,9
leiden,7
leiden,6
leiden,5
leiden,4
leiden,181
leiden,171
leiden,106
leiden,99
leiden,89
leiden,87
leiden,74
leiden,54
leiden,46
leiden,31
leiden,29
leiden,27
leiden,14
leiden,12
leiden,7
leiden,4
leiden,64
leiden,63
leiden,39
leiden,32
leiden,30
leiden,20
leiden,136
leiden,135
leiden,126
leiden,69
leiden,63
leiden,45
leiden,13
leiden,5
leiden,4
leiden,12
leiden,10
leiden,8
leiden,7
leiden,5
leiden,351
leiden,228
leiden,156
leiden,155
leiden,113
leiden,67
leiden,53
leiden,42
leiden,14
leiden,14
leiden,6
leiden,4
leiden,15
leiden,8
leiden,8
leiden,6
leiden,636
leiden,400
leiden,318
leiden,283
leiden,265
leiden,258
leiden,250
leiden,232
leiden,218
leiden,199
leiden,191
leiden,142
leiden,123
leiden,64
leiden,46
leiden,43
leiden,34
leiden,29
leiden,27
leiden,23
leiden,17
leiden,15
leiden,8
leiden,8
leiden,7
leiden,5
leiden,5
leiden,5
leiden,4
leiden,42
leiden,41
leiden,40
leiden,38
leiden,31
leiden,26
leiden,25
leiden,15
leiden,8
leiden,104
leiden,79
leiden,70
leiden,57
leiden,47
leiden,47
leiden,24
leiden,17
leiden,17
leiden,12
leiden,11
leiden,10
leiden,8
leiden,60
leiden,52
leiden,20
leiden,16
leiden,15
leiden,15
leiden,12
leiden,11
leiden,10
leiden,5
leiden,4
leiden,289
leiden,208
leiden,184
leiden,149
leiden,126
leiden,106
leiden,79
leiden,60
leiden,57
leiden,51
leiden,27
leiden,22
leiden,21
leiden,19
leiden,14
leiden,11
leiden,254
leiden,195
leiden,189
leiden,108
leiden,90
leiden,78
leiden,77
leiden,62
leiden,44
leiden,6
leiden,18
leiden,17
leiden,16
leiden,15
leiden,13
leiden,13
leiden,10
leiden,28
leiden,23
leiden,20
leiden,19
leiden,12
leiden,9
leiden,6
leiden,5
leiden,804
leiden,728
leiden,374
leiden,337
leiden,333
leiden,310
leiden,273
leiden,270
leiden,245
leiden,171
leiden,135
leiden,109
leiden,101
leiden,91
leiden,81
leiden,53
leiden,51
leiden,11
leiden,5
leiden,34
leiden,32
leiden,29
leiden,24
leiden,22
leiden,171
leiden,156
leiden,143
leiden,137
leiden,127
leiden,118
leiden,98
leiden,95
leiden,72
leiden,65
leiden,41
leiden,40
leiden,29
leiden,19
leiden,12
leiden,9
leiden,7
leiden,7
leiden,7
leiden,6
leiden,5
leiden,4
leiden,492
leiden,352
leiden,258
leiden,234
leiden,182
leiden,180
leiden,154
leiden,138
leiden,127
leiden,125
leiden,125
leiden,82
leiden,75
leiden,67
leiden,65
leiden,65
leiden,54
leiden,44
leiden,39
leiden,39
leiden,38
leiden,26
leiden,21
leiden,18
leiden,10
leiden,10
leiden,7
leiden,7
leiden,7
leiden,7
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,53
leiden,47
leiden,41
leiden,39
leiden,27
leiden,27
leiden,26
leiden,15
leiden,13
leiden,39
leiden,34
leiden,30
leiden,27
leiden,20
leiden,17
leiden,17
leiden,16
leiden,15
leiden,10
leiden,7
leiden,6
leiden,4
leiden,101
leiden,81
leiden,57
leiden,55
leiden,52
leiden,28
leiden,23
leiden,6
leiden,31
leiden,29
leiden,27
leiden,27
leiden,26
leiden,24
leiden,23
leiden,27
leiden,23
leiden,14
leiden,10
leiden,9
leiden,9
leiden,61
leiden,33
leiden,32
leiden,23
leiden,16
leiden,16
leiden,6
leiden,102
leiden,86
leiden,48
leiden,44
leiden,44
leiden,38
leiden,26
leiden,20
leiden,18
leiden,15
leiden,5
leiden,80
leiden,78
leiden,69
leiden,56
leiden,40
leiden,37
leiden,29
leiden,28
leiden,23
leiden,22
leiden,17
leiden,15
leiden,14
leiden,10
leiden,8
leiden,6
leiden,5
leiden,5
leiden,4
leiden,22
leiden,15
leiden,14
leiden,10
leiden,5
leiden,5
leiden,27
leiden,22
leiden,22
leiden,12
leiden,10
leiden,6
leiden,4
leiden,12
leiden,11
leiden,9
leiden,4
leiden,64
leiden,48
leiden,38
leiden,26
leiden,25
leiden,21
leiden,10
leiden,8
leiden,6
leiden,4
leiden,46
leiden,35
leiden,29
leiden,26
leiden,22
leiden,18
leiden,16
leiden,4
leiden,245
leiden,231
leiden,153
leiden,151
leiden,141
leiden,105
leiden,85
leiden,78
leiden,60
leiden,50
leiden,41
leiden,28
leiden,16
leiden,11
leiden,5
leiden,114
leiden,82
leiden,80
leiden,72
leiden,70
leiden,67
leiden,62
leiden,51
leiden,39
leiden,28
leiden,28
leiden,27
leiden,27
leiden,25
leiden,12
leiden,12
leiden,11
leiden,7
leiden,7
leiden,6
leiden,5
leiden,4
leiden,4
leiden,4
leiden,23
leiden,21
leiden,18
leiden,17
leiden,12
leiden,11
leiden,8
leiden,5
leiden,4
leiden,317
leiden,299
leiden,193
leiden,172
leiden,87
leiden,86
leiden,80
leiden,73
leiden,67
leiden,51
leiden,49
leiden,46
leiden,19
leiden,16
leiden,16
leiden,9
leiden,7
leiden,6
leiden,6
leiden,6
leiden,6
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,10
leiden,8
leiden,7
leiden,5
leiden,28
leiden,26
leiden,9
leiden,6
leiden,5
leiden,40
leiden,36
leiden,23
leiden,22
leiden,18
leiden,13
leiden,7
leiden,5
leiden,27
leiden,26
leiden,19
leiden,7
leiden,7
leiden,6
leiden,4
leiden,4
leiden,179
leiden,127
leiden,95
leiden,88
leiden,85
leiden,34
leiden,24
leiden,18
leiden,10
leiden,9
leiden,9
leiden,5
leiden,40
leiden,36
leiden,35
leiden,14
leiden,14
leiden,13
leiden,5
leiden,28
leiden,28
leiden,24
leiden,22
leiden,17
leiden,9
leiden,9
leiden,140
leiden,106
leiden,105
leiden,87
leiden,80
leiden,53
leiden,48
leiden,47
leiden,44
leiden,40
leiden,30
leiden,24
leiden,5
leiden,15
leiden,12
leiden,9
leiden,6
leiden,4
leiden,126
leiden,109
leiden,64
leiden,54
leiden,49
leiden,40
leiden,33
leiden,32
leiden,27
leiden,24
leiden,23
leiden,19
leiden,18
leiden,16
leiden,12
leiden,12
leiden,11
leiden,8
leiden,7
leiden,7
leiden,7
leiden,4
leiden,130
leiden,117
leiden,92
leiden,54
leiden,49
leiden,42
leiden,40
leiden,34
leiden,32
leiden,21
leiden,16
leiden,7
leiden,6
leiden,24
leiden,23
leiden,12
leiden,10
leiden,7
leiden,5
leiden,4
leiden,76
leiden,69
leiden,58
leiden,56
leiden,52
leiden,51
leiden,50
leiden,40
leiden,16
leiden,16
leiden,218
leiden,169
leiden,111
leiden,93
leiden,86
leiden,45
leiden,13
leiden,10
leiden,9
leiden,15
leiden,14
leiden,14
leiden,9
leiden,7
leiden,41
leiden,22
leiden,20
leiden,15
leiden,15
leiden,15
leiden,13
leiden,10
leiden,9
leiden,6
leiden,145
leiden,81
leiden,62
leiden,54
leiden,40
leiden,26
leiden,21
leiden,15
leiden,12
leiden,12
leiden,11
leiden,9
leiden,6
leiden,6
leiden,4
leiden,4
leiden,123
leiden,88
leiden,78
leiden,77
leiden,63
leiden,54
leiden,53
leiden,35
leiden,34
leiden,22
leiden,17
leiden,19
leiden,13
leiden,13
leiden,8
leiden,5
leiden,249
leiden,237
leiden,191
leiden,141
leiden,116
leiden,113
leiden,74
leiden,61
leiden,51
leiden,50
leiden,49
leiden,21
leiden,18
leiden,10
leiden,7
leiden,5
leiden,5
leiden,4
leiden,33
leiden,24
leiden,22
leiden,22
leiden,16
leiden,9
leiden,8
leiden,6
leiden,4
leiden,140
leiden,119
leiden,113
leiden,68
leiden,37
leiden,28
leiden,25
leiden,22
leiden,22
leiden,21
leiden,16
leiden,11
leiden,11
leiden,8
leiden,7
leiden,6
leiden,5
leiden,5
leiden,70
leiden,54
leiden,46
leiden,40
leiden,36
leiden,31
leiden,29
leiden,21
leiden,19
leiden,17
leiden,12
leiden,10
leiden,228
leiden,222
leiden,214
leiden,134
leiden,70
leiden,66
leiden,61
leiden,5
leiden,24
leiden,24
leiden,19
leiden,14
leiden,7
leiden,6
leiden,4
leiden,21
leiden,13
leiden,12
leiden,9
leiden,9
leiden,177
leiden,174
leiden,153
leiden,83
leiden,73
leiden,67
leiden,52
leiden,36
leiden,29
leiden,19
leiden,19
leiden,18
leiden,8
leiden,7
leiden,7
leiden,7
leiden,6
leiden,6
leiden,5
leiden,5
leiden,5
leiden,192
leiden,171
leiden,161
leiden,139
leiden,107
leiden,106
leiden,41
leiden,32
leiden,19
leiden,11
leiden,10
leiden,9
leiden,7
leiden,7
leiden,6
leiden,6
leiden,5
leiden,653
leiden,411
leiden,287
leiden,277
leiden,258
leiden,220
leiden,211
leiden,183
leiden,176
leiden,174
leiden,170
leiden,160
leiden,146
leiden,129
leiden,92
leiden,48
leiden,24
leiden,15
leiden,12
leiden,12
leiden,11
leiden,5
leiden,32
leiden,32
leiden,25
leiden,18
leiden,17
leiden,6
leiden,4
leiden,28
leiden,24
leiden,18
leiden,14
leiden,10
leiden,5
leiden,54
leiden,33
leiden,28
leiden,28
leiden,25
leiden,22
leiden,21
leiden,18
leiden,61
leiden,47
leiden,44
leiden,37
leiden,36
leiden,32
leiden,9
leiden,5
leiden,5
leiden,93
leiden,55
leiden,47
leiden,40
leiden,40
leiden,38
leiden,30
leiden,22
leiden,19
leiden,19
leiden,18
leiden,18
leiden,18
leiden,18
leiden,16
leiden,16
leiden,15
leiden,15
leiden,12
leiden,12
leiden,11
leiden,11
leiden,10
leiden,10
leiden,9
leiden,8
leiden,7
leiden,6
leiden,5
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,29
leiden,25
leiden,24
leiden,18
leiden,18
leiden,13
leiden,5
leiden,4
leiden,147
leiden,139
leiden,72
leiden,55
leiden,34
leiden,25
leiden,22
leiden,9
leiden,16
leiden,14
leiden,12
leiden,11
leiden,10
leiden,9
leiden,8
leiden,52
leiden,33
leiden,28
leiden,4
leiden,4
leiden,46
leiden,45
leiden,24
leiden,20
leiden,18
leiden,14
leiden,13
leiden,9
leiden,64
leiden,38
leiden,37
leiden,35
leiden,32
leiden,21
leiden,20
leiden,12
leiden,52
leiden,45
leiden,39
leiden,31
leiden,21
leiden,13
leiden,11
leiden,10
leiden,4
leiden,4
leiden,219
leiden,200
leiden,200
leiden,171
leiden,163
leiden,162
leiden,141
leiden,82
leiden,54
leiden,43
leiden,14
leiden,10
leiden,9
leiden,8
leiden,7
leiden,6
leiden,5
leiden,5
leiden,4
leiden,4
leiden,42
leiden,28
leiden,25
leiden,23
leiden,20
leiden,12
leiden,7
leiden,6
leiden,21
leiden,10
leiden,9
leiden,6
leiden,8
leiden,8
leiden,5
leiden,5
leiden,5
leiden,13
leiden,11
leiden,9
leiden,9
leiden,6
leiden,5
leiden,104
leiden,80
leiden,66
leiden,54
leiden,47
leiden,42
leiden,42
leiden,26
leiden,61
leiden,47
leiden,47
leiden,47
leiden,41
leiden,36
leiden,35
leiden,20
leiden,14
leiden,10
leiden,4
leiden,52
leiden,37
leiden,33
leiden,24
leiden,13
leiden,13
leiden,11
leiden,10
leiden,10
leiden,10
leiden,7
leiden,7
leiden,5
leiden,4
leiden,28
leiden,21
leiden,18
leiden,16
leiden,15
leiden,15
leiden,11
leiden,10
leiden,5
leiden,4
leiden,38
leiden,28
leiden,28
leiden,26
leiden,21
leiden,17
leiden,16
leiden,12
leiden,8
leiden,7
leiden,5
leiden,21
leiden,7
leiden,7
leiden,4
leiden,561
leiden,405
leiden,289
leiden,217
leiden,152
leiden,152
leiden,131
leiden,124
leiden,119
leiden,116
leiden,115
leiden,77
leiden,77
leiden,76
leiden,71
leiden,63
leiden,55
leiden,51
leiden,49
leiden,47
leiden,32
leiden,31
leiden,28
leiden,25
leiden,25
leiden,23
leiden,22
leiden,19
leiden,17
leiden,16
leiden,12
leiden,12
leiden,12
leiden,11
leiden,11
leiden,10
leiden,8
leiden,7
leiden,7
leiden,6
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,27
leiden,22
leiden,16
leiden,10
leiden,161
leiden,122
leiden,111
leiden,108
leiden,80
leiden,59
leiden,47
leiden,44
leiden,41
leiden,21
leiden,7
leiden,6
leiden,5
leiden,5
leiden,35
leiden,23
leiden,22
leiden,21
leiden,15
leiden,14
leiden,11
leiden,6
leiden,82
leiden,66
leiden,60
leiden,53
leiden,40
leiden,40
leiden,36
leiden,16
leiden,14
leiden,11
leiden,10
leiden,8
leiden,7
leiden,4
leiden,12
leiden,9
leiden,7
leiden,35
leiden,26
leiden,21
leiden,21
leiden,16
leiden,12
leiden,11
leiden,8
leiden,6
leiden,4
leiden,440
leiden,274
leiden,262
leiden,257
leiden,208
leiden,203
leiden,131
leiden,83
leiden,70
leiden,61
leiden,58
leiden,47
leiden,34
leiden,29
leiden,28
leiden,27
leiden,25
leiden,22
leiden,20
leiden,20
leiden,19
leiden,12
leiden,10
leiden,7
leiden,237
leiden,174
leiden,146
leiden,135
leiden,95
leiden,52
leiden,52
leiden,52
leiden,46
leiden,46
leiden,36
leiden,34
leiden,27
leiden,24
leiden,23
leiden,22
leiden,12
leiden,11
leiden,8
leiden,8
leiden,4
leiden,4
leiden,510
leiden,398
leiden,325
leiden,309
leiden,228
leiden,221
leiden,213
leiden,190
leiden,153
leiden,148
leiden,129
leiden,127
leiden,110
leiden,109
leiden,98
leiden,89
leiden,79
leiden,67
leiden,67
leiden,60
leiden,52
leiden,52
leiden,41
leiden,36
leiden,31
leiden,29
leiden,29
leiden,23
leiden,22
leiden,19
leiden,17
leiden,17
leiden,17
leiden,15
leiden,13
leiden,12
leiden,10
leiden,10
leiden,9
leiden,9
leiden,8
leiden,8
leiden,8
leiden,8
leiden,7
leiden,7
leiden,6
leiden,6
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,77
leiden,76
leiden,65
leiden,59
leiden,50
leiden,35
leiden,28
leiden,25
leiden,18
leiden,13
leiden,12
leiden,12
leiden,10
leiden,5
leiden,4
leiden,4
leiden,4
leiden,19
leiden,11
leiden,11
leiden,10
leiden,10
leiden,112
leiden,62
leiden,57
leiden,54
leiden,50
leiden,47
leiden,22
leiden,19
leiden,10
leiden,10
leiden,7
leiden,4
leiden,65
leiden,43
leiden,27
leiden,22
leiden,11
leiden,4
leiden,4
leiden,4
leiden,65
leiden,33
leiden,27
leiden,22
leiden,18
leiden,15
leiden,5
leiden,58
leiden,32
leiden,31
leiden,30
leiden,28
leiden,26
leiden,20
leiden,13
leiden,5
leiden,5
leiden,77
leiden,77
leiden,56
leiden,52
leiden,47
leiden,33
leiden,33
leiden,27
leiden,22
leiden,20
leiden,19
leiden,8
leiden,7
leiden,6
leiden,12
leiden,10
leiden,8
leiden,7
leiden,55
leiden,45
leiden,28
leiden,18
leiden,15
leiden,15
leiden,15
leiden,13
leiden,8
leiden,8
leiden,4
leiden,45
leiden,37
leiden,34
leiden,33
leiden,31
leiden,25
leiden,16
leiden,16
leiden,10
leiden,10
leiden,5
leiden,81
leiden,80
leiden,68
leiden,61
leiden,47
leiden,30
leiden,18
leiden,11
leiden,11
leiden,7
leiden,7
leiden,4
leiden,29
leiden,24
leiden,19
leiden,15
leiden,14
leiden,14
leiden,14
leiden,13
leiden,12
leiden,12
leiden,11
leiden,11
leiden,11
leiden,11
leiden,10
leiden,10
leiden,10
leiden,10
leiden,10
leiden,10
leiden,10
leiden,10
leiden,10
leiden,10
leiden,9
leiden,9
leiden,9
leiden,9
leiden,9
leiden,9
leiden,9
leiden,9
leiden,9
leiden,9
leiden,8
leiden,8
leiden,8
leiden,8
leiden,8
leiden,8
leiden,8
leiden,8
leiden,7
leiden,7
leiden,7
leiden,7
leiden,7
leiden,7
leiden,7
leiden,7
leiden,7
leiden,7
leiden,7
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,6
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,5
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,4
leiden,31
leiden,28
leiden,18
leiden,17
leiden,16
leiden,14
leiden,12
leiden,4
leiden,112
leiden,68
leiden,67
leiden,55
leiden,53
leiden,48
leiden,36
leiden,29
leiden,26
leiden,22
leiden,19
leiden,10
leiden,8
leiden,8
leiden,5
leiden,5
leiden,70
leiden,49
leiden,47
leiden,46
leiden,45
leiden,45
leiden,31
leiden,31
leiden,31
leiden,28
leiden,28
leiden,21
leiden,20
leiden,19
leiden,17
leiden,15
leiden,13
leiden,6
leiden,6
leiden,6
infomap,267
infomap,177
infomap,175
infomap,42
infomap,4
infomap,1093
infomap,639
infomap,224
infomap,78
infomap,44
infomap,41
infomap,31
infomap,18
infomap,15
infomap,15
infomap,6
infomap,4
infomap,4
infomap,19
infomap,16
infomap,9
infomap,174
infomap,127
infomap,114
infomap,27
infomap,4
infomap,37
infomap,28
infomap,26
infomap,6
infomap,5
infomap,5
infomap,5
infomap,5
infomap,4
infomap,14
infomap,9
infomap,6
infomap,5
infomap,113
infomap,46
infomap,16
infomap,11
infomap,9
infomap,7
infomap,7
infomap,4
infomap,56
infomap,42
infomap,21
infomap,9
infomap,113
infomap,59
infomap,19
infomap,18
infomap,18
infomap,5
infomap,68
infomap,23
infomap,15
infomap,14
infomap,13
infomap,12
infomap,9
infomap,7
infomap,6
infomap,5
infomap,5
infomap,47
infomap,14
infomap,7
infomap,176
infomap,164
infomap,108
infomap,100
infomap,62
infomap,53
infomap,17
infomap,12
infomap,4
infomap,182
infomap,75
infomap,50
infomap,26
infomap,25
infomap,9
infomap,107
infomap,101
infomap,89
infomap,64
infomap,63
infomap,29
infomap,17
infomap,425
infomap,106
infomap,121
infomap,37
infomap,23
infomap,15
infomap,7
infomap,232
infomap,137
infomap,135
infomap,113
infomap,67
infomap,47
infomap,30
infomap,18
infomap,4
infomap,243
infomap,47
infomap,34
infomap,20
infomap,10
infomap,47
infomap,32
infomap,15
infomap,35
infomap,8
infomap,4
infomap,4
infomap,86
infomap,85
infomap,83
infomap,34
infomap,7
infomap,4
infomap,29
infomap,28
infomap,445
infomap,9
infomap,6
infomap,5
infomap,393
infomap,254
infomap,199
infomap,120
infomap,113
infomap,102
infomap,92
infomap,85
infomap,62
infomap,21
infomap,172
infomap,41
infomap,20
infomap,14
infomap,12
infomap,50
infomap,35
infomap,4
infomap,34
infomap,32
infomap,7
infomap,18
infomap,17
infomap,92
infomap,57
infomap,43
infomap,200
infomap,62
infomap,32
infomap,5
infomap,5
infomap,43
infomap,19
infomap,219
infomap,137
infomap,89
infomap,27
infomap,20
infomap,17
infomap,14
infomap,12
infomap,108
infomap,17
infomap,285
infomap,45
infomap,17
infomap,16
infomap,10
infomap,573
infomap,50
infomap,9
infomap,40
infomap,36
infomap,5
infomap,4
infomap,4
infomap,4
infomap,414
infomap,375
infomap,146
infomap,103
infomap,57
infomap,45
infomap,23
infomap,22
infomap,21
infomap,21
infomap,20
infomap,20
infomap,19
infomap,14
infomap,13
infomap,12
infomap,37
infomap,22
infomap,17
infomap,11
infomap,10
infomap,9
infomap,5
infomap,5
infomap,4
infomap,30
infomap,20
infomap,6
infomap,4
infomap,292
infomap,155
infomap,93
infomap,52
infomap,10
infomap,39
infomap,36
infomap,24
infomap,18
infomap,15
infomap,658
infomap,89
infomap,20
infomap,7
infomap,179
infomap,84
infomap,24
infomap,22
infomap,21
infomap,12
infomap,11
infomap,10
infomap,6
infomap,5
infomap,5
infomap,46
infomap,20
infomap,13
infomap,11
infomap,6
infomap,4
infomap,22
infomap,19
infomap,16
infomap,37
infomap,11
infomap,9
infomap,5
infomap,17
infomap,9
infomap,7
infomap,6
infomap,68
infomap,60
infomap,57
infomap,24
infomap,123
infomap,38
infomap,33
infomap,5
infomap,26
infomap,15
infomap,13
infomap,11
infomap,6
infomap,5
infomap,4
infomap,115
infomap,29
infomap,16
infomap,11
infomap,14
infomap,8
