algorithm,size
leiden,7
leiden,41
leiden,29
leiden,21
leiden,20
leiden,6
leiden,21
leiden,13
leiden,12
leiden,10
leiden,4
leiden,4
leiden,84
leiden,53
leiden,44
leiden,41
leiden,31
leiden,22
leiden,18
leiden,7
leiden,5
leiden,4
leiden,29
leiden,25
leiden,18
leiden,12
leiden,10
leiden,10
leiden,9
leiden,7
leiden,7
leiden,6
leiden,5
leiden,5
leiden,4
leiden,28
leiden,27
leiden,24
leiden,15
leiden,51
leiden,50
leiden,44
leiden,38
leiden,35
leiden,26
leiden,21
leiden,21
leiden,17
leiden,11
leiden,11
leiden,10
leiden,7
leiden,5
leiden,20
leiden,16
leiden,15
leiden,10
leiden,7
leiden,5
leiden,4
leiden,10
leiden,7
leiden,6
leiden,5
leiden,72
leiden,48
leiden,45
leiden,36
leiden,28
leiden,27
leiden,15
leiden,9
leiden,4
leiden,4
leiden,77
leiden,57
leiden,49
leiden,42
leiden,33
leiden,18
leiden,4
leiden,4
leiden,4
leiden,31
leiden,13
leiden,13
leiden,9
leiden,63
leiden,56
leiden,43
leiden,9
leiden,61
leiden,53
leiden,51
leiden,38
leiden,35
leiden,18
leiden,17
leiden,14
leiden,14
leiden,62
leiden,49
leiden,42
leiden,37
leiden,33
leiden,21
leiden,18
leiden,24
leiden,22
leiden,16
leiden,14
leiden,7
leiden,25
leiden,22
leiden,18
leiden,17
leiden,16
leiden,14
leiden,67
leiden,46
leiden,46
leiden,45
leiden,42
leiden,36
leiden,22
leiden,19
leiden,17
leiden,14
leiden,13
leiden,9
leiden,6
leiden,5
leiden,5
leiden,4
leiden,15
leiden,14
leiden,12
leiden,11
leiden,6
leiden,5
leiden,19
leiden,16
leiden,16
leiden,9
leiden,7
leiden,6
leiden,6
leiden,5
leiden,25
leiden,17
leiden,14
leiden,8
leiden,8
leiden,30
leiden,21
leiden,13
leiden,12
leiden,12
leiden,9
leiden,4
leiden,56
leiden,53
leiden,32
leiden,31
leiden,22
leiden,14
leiden,10
leiden,8
leiden,4
leiden,25
leiden,15
leiden,9
leiden,9
leiden,8
leiden,6
leiden,5
leiden,4
leiden,23
leiden,21
leiden,20
leiden,20
leiden,17
leiden,10
leiden,126
leiden,107
leiden,100
leiden,66
leiden,49
leiden,49
leiden,35
leiden,26
leiden,20
leiden,15
leiden,7
leiden,4
leiden,4
leiden,4
leiden,244
leiden,196
leiden,138
leiden,123
leiden,111
leiden,93
leiden,77
leiden,57
leiden,33
leiden,32
leiden,25
leiden,19
leiden,18
leiden,17
leiden,16
leiden,10
leiden,10
leiden,9
leiden,6
leiden,93
leiden,83
leiden,64
leiden,61
leiden,48
leiden,35
leiden,29
leiden,26
leiden,22
leiden,11
leiden,24
leiden,15
leiden,14
leiden,13
leiden,6
leiden,5
leiden,4
leiden,4
leiden,33
leiden,20
leiden,20
leiden,13
leiden,11
leiden,6
leiden,15
leiden,13
leiden,9
leiden,4
leiden,4
leiden,529
leiden,388
leiden,352
leiden,344
leiden,334
leiden,181
leiden,154
leiden,69
leiden,65
leiden,53
leiden,52
leiden,30
leiden,25
leiden,15
leiden,15
leiden,10
leiden,8
leiden,4
leiden,4
leiden,4
leiden,716
leiden,430
leiden,377
leiden,329
leiden,296
leiden,283
leiden,251
leiden,244
leiden,201
leiden,155
leiden,74
leiden,56
leiden,40
leiden,38
leiden,30
leiden,11
leiden,9
leiden,5
leiden,4
leiden,4
leiden,20
leiden,13
leiden,10
leiden,10
leiden,9
leiden,7
leiden,7
leiden,40
leiden,26
leiden,23
leiden,22
leiden,18
leiden,12
leiden,11
leiden,9
leiden,7
leiden,6
leiden,47
leiden,23
leiden,20
leiden,17
leiden,17
leiden,10
leiden,9
leiden,9
leiden,34
leiden,32
leiden,28
leiden,17
leiden,11
leiden,6
leiden,6
leiden,5
leiden,651
leiden,640
leiden,522
leiden,270
leiden,261
leiden,182
leiden,167
leiden,140
leiden,127
leiden,124
leiden,82
leiden,75
leiden,19
leiden,17
leiden,15
leiden,12
leiden,12
leiden,11
leiden,11
leiden,8
leiden,7
leiden,7
leiden,6
leiden,4
leiden,25
leiden,15
leiden,15
leiden,8
leiden,62
leiden,40
leiden,36
leiden,30
leiden,15
leiden,5
leiden,34
leiden,22
leiden,20
leiden,20
leiden,9
leiden,8
leiden,8
leiden,7
leiden,6
leiden,4
leiden,50
leiden,43
leiden,43
leiden,9
leiden,8
leiden,6
leiden,6
leiden,4
leiden,4
leiden,25
leiden,23
leiden,20
leiden,12
leiden,10
leiden,7
leiden,7
leiden,4
leiden,54
leiden,24
leiden,23
leiden,14
leiden,13
leiden,34
leiden,30
leiden,24
leiden,19
leiden,10
leiden,7
leiden,7
leiden,5
leiden,5
leiden,335
leiden,263
leiden,189
leiden,170
leiden,128
leiden,72
leiden,31
leiden,26
leiden,15
leiden,5
leiden,297
leiden,259
leiden,206
leiden,121
leiden,103
leiden,102
leiden,102
leiden,95
leiden,77
leiden,68
leiden,63
leiden,32
leiden,29
leiden,28
leiden,22
leiden,22
leiden,21
leiden,16
leiden,7
leiden,6
leiden,14
leiden,13
leiden,9
leiden,7
leiden,6
leiden,162
leiden,153
leiden,87
leiden,76
leiden,66
leiden,64
leiden,56
leiden,54
leiden,53
leiden,48
leiden,39
leiden,23
leiden,62
leiden,34
leiden,32
leiden,27
leiden,17
leiden,16
leiden,13
leiden,62
leiden,58
leiden,52
leiden,50
leiden,43
leiden,26
leiden,23
leiden,21
leiden,21
leiden,9
leiden,6
leiden,6
leiden,6
leiden,28
leiden,21
leiden,17
leiden,15
leiden,15
leiden,12
leiden,10
leiden,10
leiden,7
leiden,5
leiden,4
leiden,4
leiden,4
leiden,35
leiden,24
leiden,16
leiden,16
leiden,11
leiden,9
leiden,8
leiden,6
leiden,4
