project, size, rand
DynamicJasper, 189, -0.0018873732402348643
dynamicreports, 933, 0.3828084209588436
easy-batch, 62, 0.42645006143475694
ebean, 1242, 0.493890680524316
eclipse-collections, 147, 0.31956772629253294
ehcache3, 224, 0.1460693225837259
elasticsearch, 3602, 0.2601295303404224
elide, 191, 0.03830233827975936
Erdos, 59, 0.10203296703296702
error-prone, 630, 0.5012989190775416
eureka, 263, 0.38099950394035187
exist, 1464, 0.011131005594444151
failsafe, 32, 0.3712711477681816
fast-serialization, 120, 0.09485117443753198
fastjson, 185, 0.3032121201313094
feign, 56, 0.04237896380339324
ff4j, 159, 0.20292888122550254
firefly, 312, 0.5171162912468097
fixture-factory, 50, 0.2336345180318727
flexy-pool, 74, 0.20260468801905313
flyingsaucer, 364, -0.010141652772863377
flyway, 346, 0.3208360999191514
freemarker, 552, 0.30139179977561037
functionaljava, 89, 0.517117352492924
FXGL, 170, 0.23908806085900514
gatling, 90, 0.4251652337076764
genson, 89, 0.41539668848565825
geotools, 6146, 0.3908201871356897
gephi, 1162, 0.19994914349614545
glowroot, 645, 0.3472230917116013
governator, 203, 0.5340210512642065
gradle, 7400, 0.28060381312197796
graphhopper, 591, 0.05202558212372193
greenmail, 155, 0.24622585814286924
grizzly, 695, 0.2591027687003344
grpc-java, 480, 0.17226557967635886
gson, 55, 0.013066015636109424
guava, 268, 0.1064384464213898
h2database, 749, 0.10585783630295069
h2gis, 349, 0.7654022646610964
handlebars.java, 112, 0.12813009268053707
hazelcast, 4282, 0.30796340703129843
hdiv, 299, 0.09036468793368652
helidon, 119, 0.916737565612894
hermes, 953, 0.2718749745592724
hibernate-orm, 3455, 0.13639629712669246
HikariCP, 41, 0.41908144743199655
honest-profiler, 129, 0.27876128456315996
HotswapAgent, 551, 0.2384790317331259
hoverfly-java, 86, 0.24346825877649578
hppc, 27, 0.6026200873362445
httpcomponents-core, 500, 0.006317011634290797
ical4j, 247, 0.1744277450233576
immutables, 652, 0.592767074614356
inspectit-ocelot, 399, 0.44188254770943136
izpack, 872, 0.13113425665772493
j8spec, 25, 0.469683577868128
jackson-databind, 404, 0.26101276180249583
jackson-modules-java8, 40, 1.0
jacop, 522, 0.3309377501901351
jade4j, 111, 0.3600076069996541
jaeger-client-java, 107, 0.03081763511316646
janala2, 295, 0.8118642421289871
jasperreports, 126, 0.9427049830641184
java, 136, -0.014987176364391838
java-ascii-render, 36, 0.4847841472045294
java-faker, 99, 0.04960611906491545
javacc, 110, 0.505175856955071
javacpp, 152, 0.41469967841698174
javacv, 63, 0.006344969199178675
JavaHamcrest, 34, 0.2653730026800556
javamelody, 291, 0.2654411866569105
javaparser, 433, 0.6399346381429474
javassist, 247, 0.007883325780908945
javasymbolsolver, 127, 0.548210970538148
jaywire, 37, 0.16286531798776868
jbake, 73, 0.30722365146388525
jbehave-core, 333, 0.02771900748575821
jbock, 43, 0.042458030174178756
jbot, 66, 0.378026096807127
jcommander, 50, 0.374486736845244
JCTools, 111, 0.13998818590506246
jdbi, 455, -0.04577304076097156
jeromq, 148, 0.32082907386009835
jersey, 1634, 0.19835839486878268
Jest, 158, 0.37250742816972976
jetty.project, 282, 0.9568742132532568
jexer, 87, 0.05419291549211755
jfairy, 99, 0.030750733393676972
jflex, 103, 0.4829302869035511
jfreechart, 531, 0.06877103862992297
JGiven, 195, 0.2521682695144256
jgrapht, 25, 0.8644549151229588
jimfs, 58, 0.5051129523494315
jitwatch, 257, 0.03271216092278308
jjwt, 100, 0.21759380006706655
jline3, 178, 0.174578833543292
jmapper-core, 140, 0.27070874937285094
jmeter, 1110, 0.1480561014455999
jmonkeyengine, 1057, 0.2515725194929872
jmxtrans, 149, 0.3177227617749852
jna, 367, 0.04945597234102369
jnr-ffi, 265, 0.2642920475483775
jobrunr, 280, 0.26831118780852264
jolokia, 261, 0.28874433634377594
jolt, 100, -0.014452308274932905
jooby, 454, 0.1208184260132543
jOOL, 31, 1.0
jOOQ, 1100, 0.1366156746432793
jopt-simple, 37, 0.300015765410689
jqa-core-framework, 130, 0.3709077188553231
jqwik, 360, 0.2722643181830352
JSAT, 525, 0.24214379334261094
JsonPath, 99, 0.31373771219333896
JsonSurfer, 77, 0.42317010116873527
mockito, 375, 0.2671693292562043
mockserver, 424, 0.23729508649920958
moco, 337, 0.018380482923131384
modality, 85, 0.08965911337974117
modelmapper, 98, 0.07062633010578316
morpheus-core, 123, 0.4117021427342382
msgpack-java, 77, 0.45534625693689645
MutabilityDetector, 129, 0.16047314428878273
mybatis-3, 312, 0.11327482364916568
nacos, 700, 0.30767170277573935
nakadi, 157, 0.28995810203742073
nanohttpd, 44, 0.456816749527344
narayana, 581, 0.5359893553201258
nats.java, 32, 0.29676459650427667
nbvcxz, 34, 0.5014121225287855
netty, 1717, 0.27566785168390207
ninja, 277, 0.07074631171784138
NullAway, 63, 0.42285625073182154
oacc-core, 113, 0.20049618671322245
objenesis, 49, 0.40477528425734405
openhtmltopdf, 352, 0.022523675713752325
openj9, 910, 0.4978259346749533
OpenPDF, 469, 0.006616297041148053
opentracing-toolbox, 151, 0.4201525264327016
optaplanner, 463, 0.3772743042613706
orc, 211, 0.15882110143582248
Orienteer, 656, 0.20436698719561708
orika, 459, 0.18087418023235247
orson-charts, 200, 0.051613772875688295
oryx, 134, 0.08696670063357861
owner, 53, 0.44696444867010987
p6spy, 75, 0.31339869521406877
pac4j, 556, 0.11644888397023047
parity, 82, 0.097859582824954
parquet-mr, 555, 0.14625630573466608
pdfbox, 1031, 0.07273766900176035
pebble, 250, 0.208173280182497
permazen, 598, 0.24501575618762633
perses, 25, 0.49228269699431354
philadelphia, 42, 0.0583642001701239
phoenix, 1213, 0.046553723068382034
picocli, 42, 0.1145960537309596
pinpoint, 3881, 0.46351378213257277
pippo, 268, 0.07672889133045002
pitest, 503, 0.2241160438052459
playframework, 227, 0.20229654488122822
pmd, 1431, 0.4404238265319899
poi, 1105, 0.2957977010693343
pojo-tester, 105, 0.4875628728883086
polyglot-maven, 116, 0.2122828299322902
presto, 4514, 0.36870579274297816
protobuf, 144, 0.26883861824639643
pulsar, 1397, 0.3744187307250921
quarkus, 3149, 0.3513222654678301
quartz, 288, 0.07162130901790796
quasar, 252, 0.3677013142164197
querydsl, 409, 0.18076828700117986
rabbitmq-java-client, 192, 0.1564827335615969
raml-tester, 92, 0.5651564666867651
randomizedtesting, 189, 0.4756772502184678
rapidoid, 449, 0.013704330284394668
ratpack, 555, 0.16549022374091957
reactor-core, 74, 0.4184477837665365
realm-java, 112, 0.052736113035863307
redisson, 616, 0.34625660181394474
reflections, 36, 0.34204231186622636
requery, 252, 0.4236330668083707
rest-assured, 199, 0.13922135164928826
rest.li, 1413, 0.31107224661722876
Resteasy, 897, 0.1726948604015908
RestExpress, 119, 0.08870701692128545
restlet-framework-java, 1657, 0.02458705696739006
restQL-java, 35, 0.49124545754872806
retrofit, 82, 0.5251253400092347
riptide, 175, 0.30284278982792173
rocker, 100, 0.5951988746889796
rocketmq, 683, 0.3882620867206852
RxJava, 160, 0.1119341054825019
scalecube-services, 139, 0.5055468520787616
seata, 812, 0.5381013739809879
selma, 48, 0.11046362481829038
Sentinel, 714, 0.33203876350184675
serenity-core, 1260, 0.43261850528743023
service-proxy, 579, 0.022039644145259357
ShedLock, 91, 0.13209264775554588
shiro, 495, 0.10154388560969949
siddhi, 759, 0.2394220685921306
simple-binary-encoding, 67, 0.5947209238383283
simple-java-mail, 166, 0.14733436869229882
SimpleFlatMapper, 527, 0.3818262169676417
Singularity, 648, 0.11524665640434237
siren4j, 58, 0.26441431274848526
sis, 1424, 0.34273422532489317
slf4j, 146, 0.29952457871850635
smile, 669, 0.45224513518087833
smooks, 385, 0.09404168673733032
sonar-java, 1003, 0.11135813197617024
spark, 98, 0.2028176055093712
spatial4j, 64, 0.25870732198986107
speedment, 971, 0.47026969863810464
spoon, 472, 0.3087394507053552
spotbugs, 1040, 0.24085053174253007
spring-framework, 3689, 0.25200208491375475
sql2o, 99, 0.5193731477589335
sshj, 229, 0.10210026859397026
stagemonitor, 276, 0.25581471867210187
storm, 688, 0.5296700862862306
storm-crawler, 143, 0.08419570576002902
stripe-java, 505, 0.010671608329910915
Sundial, 80, 0.3154047027759522
super-csv, 121, 0.41426368318445017
swagger-core, 191, 0.35383813211670434
tablesaw, 262, 0.5922381740887355
takes, 230, 0.09856168708860696
tapestry-5, 1512, 0.31657520033514425
telosys-cli, 88, 0.09615911304499651
testcontainers-java, 171, 0.16553960812256874
text-io, 46, 0.34688609228783474
thumbnailator, 56, 0.5107435785240149
thymeleaf, 461, 0.01650761669923512
Time4J, 362, 0.32800524481638255
tink, 243, 0.16883969395647283
tinylog, 145, 0.27041182155438476
togglz, 209, 0.2506147138171342
tomcat, 41, 0.45707797310760057
tomee, 3361, 0.3216198375343728
truth, 77, 0.2929605035888382
TwelveMonkeys, 578, 0.22572177836551705
undertow, 819, 0.07160131161073063
unirest-java, 103, 0.4125675467481811
univocity-parsers, 150, 0.5936701752210628
vibur-dbcp, 30, 0.03601108033240995
webmagic, 160, 0.05904734375640662
weka-3.8, 2350, 0.00649754315490706
wicket, 1253, 0.01654296128837156
wildfly, 4222, 0.16597902062973735
wiremock, 392, 0.036963731889611794
XChart, 109, 0.34111134585349645
xmlbeam, 61, 0.04562822418048048
xodus, 457, 0.41422924749037465
yasson, 182, 0.11181417526655384
yGuard, 197, 0.32670298249318214
zipkin, 255, 0.25347944032914094
zookeeper, 486, 0.1906858021345863
zt-exec, 42, 0.5354586857514639
zuul, 226, 0.37030212618028724
zxing, 272, 0.40320778405049423
